Date,Open,High,Low,Close,Adj Close,Volume
2016-04-04,2970.050049,2987.800049,2948.050049,2979.399902,2837.601807,15979.0
2016-04-05,2978.0,3009.899902,2936.699951,2956.25,2815.553711,66510.0
2016-04-06,2960.0,3005.0,2960.0,2983.550049,2841.554688,10877.0
2016-04-07,2985.0,2985.050049,2942.5,2968.300049,2827.030273,10097.0
2016-04-08,2968.0,2968.0,2885.350098,2920.300049,2781.314941,16442.0
2016-04-11,2941.0,2985.0,2908.050049,2976.550049,2834.887451,17418.0
2016-04-12,2980.0,3060.0,2973.100098,3049.949951,2904.794189,27372.0
2016-04-13,3060.0,3170.0,3040.100098,3151.649902,3001.653809,44616.0
2016-04-18,3148.0,3157.5,3050.0,3065.350098,2919.46167,22211.0
2016-04-20,3069.0,3079.0,3006.25,3040.699951,2895.984619,265374.0
2016-04-21,3050.050049,3064.5,2980.0,2988.5,2846.268799,270380.0
2016-04-22,2980.0,3026.199951,2952.050049,3001.0,2858.173828,406447.0
2016-04-25,3000.0,3021.0,2960.0,2967.399902,2826.172852,16578.0
2016-04-26,2964.449951,2964.449951,2919.0,2932.100098,2792.552979,17480.0
2016-04-27,2932.100098,2963.449951,2932.100098,2949.050049,2808.696533,64368.0
2016-04-28,2945.0,2947.0,2889.949951,2901.300049,2763.218994,18707.0
2016-04-29,2890.100098,2914.800049,2870.0,2901.300049,2763.218994,16290.0
2016-05-02,2899.399902,2930.0,2887.550049,2907.699951,2769.314209,14464.0
2016-05-03,2955.0,2959.0,2865.350098,2884.399902,2747.123291,41281.0
2016-05-04,2899.899902,2915.350098,2884.550049,2897.699951,2759.790283,19625.0
2016-05-05,2922.899902,2948.0,2881.0,2893.949951,2756.21875,51320.0
2016-05-06,2913.0,2913.0,2829.0,2885.050049,2747.742188,44863.0
2016-05-09,2890.0,2960.0,2890.0,2948.100098,2807.791748,27252.0
2016-05-10,2948.100098,2973.0,2931.0,2961.899902,2820.934814,26061.0
2016-05-11,2934.100098,2980.899902,2920.050049,2960.649902,2819.744385,29537.0
2016-05-12,2955.050049,2979.100098,2945.0,2950.149902,2809.743896,17041.0
2016-05-13,2950.149902,2950.149902,2897.600098,2915.850098,2777.07666,15356.0
2016-05-16,2913.0,2913.0,2872.0,2902.949951,2764.790527,15104.0
2016-05-17,2910.0,2958.0,2907.0,2927.949951,2788.60083,19183.0
2016-05-18,2915.899902,2915.899902,2862.0,2884.850098,2747.552002,36475.0
2016-05-19,2897.399902,2911.949951,2869.0,2890.300049,2752.742676,17471.0
2016-05-20,2890.0,2907.699951,2872.100098,2896.75,2758.885498,13686.0
2016-05-23,2897.0,2900.0,2864.75,2883.949951,2746.694824,13048.0
2016-05-24,2865.300049,2905.0,2865.300049,2893.300049,2755.599609,11207.0
2016-05-25,2924.0,2934.949951,2907.0,2929.25,2789.838623,14531.0
2016-05-26,2924.75,2990.050049,2916.399902,2971.100098,2829.697021,23173.0
2016-05-27,2971.100098,3008.100098,2970.149902,3003.25,2860.316895,19556.0
2016-05-30,3010.0,3105.699951,3005.050049,3093.899902,2946.652588,27859.0
